grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA01CEE94,0x80082022,,,0xA01B594C,0xA01BBAD8,C_fam_0122,C_lookup_ax_X_Y_1CEE94,C_fam_unkX_unkY_1CEE94,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x80085BB2,,,0xA01B4870,0xA01BCAF8,C_fam_0120,C_lookup_ax_X_Y_085BB2,C_fam_unkX_unkY_085BB2,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0A98,0x80085C3A,,,0xA01B4870,,C_fam_0169,C_lookup_ax_X_Y_1C0A98,C_fam_unkX_unkY_1C0A98,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CC804,0x80085EA0,0xD0003028,,,,C_fam_0279,C_lookup_unresolved_085EA0,C_fam_D0003028_unkY_1CC804,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
,0x80085FC0,,,0xA01B0928,0xA01B0938,C_fam_0028,C_lookup_ax_X_Y_085FC0,C_fam_unkX_unkY_085FC0,2,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80085FD4,,,0xA01B0928,0xA01B0938,C_fam_0028,C_lookup_ax_X_Y_085FD4,C_fam_unkX_unkY_085FD4,2,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019946C,0x8008637C,,0xD0003018,0xA01AC1B4,,C_fam_0233,C_lookup_ax_X_Y_19946C,C_fam_unkX_D0003018_19946C,1,ram_y=a15_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x80087038,,,,,C_fam_0290,C_lookup_unresolved_087038,C_fam_unkX_unkY_087038,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01D0ADC,0x8008749C,,,0xA01A46A0,,C_fam_0139,C_lookup_ax_X_Y_1D0ADC,C_fam_unkX_unkY_1D0ADC,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019A438,0x80087920,,,0xA01A88EC,0xA01A14C4,C_fam_0090,C_lookup_ax_X_Y_19A438,C_fam_unkX_unkY_19A438,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CDE50,0x8008B652,0xD0001AB8,,0xA01A3674,,C_fam_0247,C_lookup_ax_X_Y_1CDE50,C_fam_D0001AB8_unkY_1CDE50,1,hub=map_interp_C;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA019F60C,0x8008B688,0xD0001AB8,,0xA01A3674,0xA01AF224,C_fam_0072,C_lookup_ax_X_Y_19F60C,C_fam_D0001AB8_unkY_19F60C,1,hub=map_interp_C;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
,0x8008BC0E,0xD0001A78,,0xA01AC89C,,C_fam_0246,C_lookup_ax_X_Y_08BC0E,C_fam_D0001A78_unkY_08BC0E,1,hub=map_interp_C;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01CCE78,0x8008C778,,,0xA01A3668,,C_fam_0136,C_lookup_ax_X_Y_1CCE78,C_fam_unkX_unkY_1CCE78,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8008CC44,,,0xA01A7450,0xA01AA974,C_fam_0087,C_lookup_ax_X_Y_08CC44,C_fam_unkX_unkY_08CC44,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019D444,0x8008D0BE,0xD000190C,,0xA01BFAB4,,C_fam_0242,C_lookup_ax_X_Y_19D444,C_fam_D000190C_unkY_19D444,1,ram_x=a14_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01C68FC,0x8008D1A2,,,0xA01A5474,,C_fam_0142,C_lookup_ax_X_Y_1C68FC,C_fam_unkX_unkY_1C68FC,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019E468,0x8008D32E,0xD0001932,0xD0001924,0xA01AB20C,,C_fam_0191,C_lookup_D0001932_x_D0001924_19E468,C_fam_D0001932_D0001924_19E468,1,hub=map_interp_C;ram_y_from_lea;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
,0x8008D3BC,0xD0001928,0xD000192A,0xA01A14BC,0xA01B0228,C_fam_0053,C_lookup_D0001928_x_D000192A,C_fam_D0001928_D000192A_08D3BC,1,ram_y=a15_at_call;hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
,0x8008D790,0xD0002FC2,0xD0002FC4,0xA01A2450,0xA01AA974,C_fam_0060,C_lookup_D0002FC2_x_D0002FC4,C_fam_D0002FC2_D0002FC4_08D790,1,ram_y=a15_at_call;hub=map_interp_C;d4=ld.hu_bo+a14;RE_not_OEM
0xA01D49D4,0x8008D99A,,,,0xA01A0468,C_fam_0129,C_lookup_ax_X_Y_1D49D4,C_fam_unkX_unkY_1D49D4,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019C470,0x8008D9C0,,,0xA01B9AF4,,C_fam_0177,C_lookup_ax_X_Y_19C470,C_fam_unkX_unkY_19C470,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01C68EC,0x8008DC5E,,,0xA01A5460,,C_fam_0141,C_lookup_ax_X_Y_1C68EC,C_fam_unkX_unkY_1C68EC,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019E454,0x8008DEDC,0xD0002FE2,,0xA01AA23C,,C_fam_0278,C_lookup_ax_X_Y_19E454,C_fam_D0002FE2_unkY_19E454,1,hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8008DF6A,0xD0002FEE,0xD0002FE6,0xA01A14A8,0xA01B0218,C_fam_0052,C_lookup_D0002FEE_x_D0002FE6,C_fam_D0002FEE_D0002FE6_08DF6A,1,ram_y=a15_at_call;hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
0xA019F400,0x8008E462,0xD000566E,,0xA01B0C34,0xA01AA974,C_fam_0113,C_lookup_ax_X_Y_19F400,C_fam_D000566E_unkY_19F400,1,hub=map_interp_C;d4=ld.hu_bo+a14;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C3A9C,0x8008E6FE,,,0xA01AF82C,,C_fam_0033,C_lookup_ax_X_Y_1C3A9C,C_fam_unkX_unkY_1C3A9C,2,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01C3A70,0x8008E718,,,0xA01AF82C,,C_fam_0033,C_lookup_ax_X_Y_1C3A70,C_fam_unkX_unkY_1C3A70,2,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019C45C,0x8008E8E2,,,0xA01BFAA4,,C_fam_0180,C_lookup_ax_X_Y_19C45C,C_fam_unkX_unkY_19C45C,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019E47C,0x8008E9B8,0xD00017EC,0xD00017DE,0xA01AA22C,,C_fam_0187,C_lookup_D00017EC_x_D00017DE_19E47C,C_fam_D00017EC_D00017DE_19E47C,1,hub=map_interp_C;ram_y_from_lea;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
,0x8008EA46,0xD00017E6,0xD00017E8,0xA01A1494,0xA01B0208,C_fam_0051,C_lookup_D00017E6_x_D00017E8,C_fam_D00017E6_D00017E8_08EA46,1,ram_y=a15_at_call;hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
0xA01CCA2C,0x8008EE16,,,0xA01A147C,,C_fam_0134,C_lookup_ax_X_Y_1CCA2C,C_fam_unkX_unkY_1CCA2C,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CCA04,0x8008F8F0,0xD00016AA,,,,C_fam_0239,C_lookup_unresolved_08F8F0,C_fam_D00016AA_unkY_1CCA04,1,ram_x=a14_at_call;hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CCA18,0x8008FAC4,0xD00016DE,,,,C_fam_0240,C_lookup_unresolved_08FAC4,C_fam_D00016DE_unkY_1CCA18,1,ram_x=a14_at_call;hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01EBDF0,0x80090758,,,0xA01AE848,0xA01AA974,C_fam_0026,C_lookup_ax_X_Y_1EBDF0,C_fam_unkX_unkY_1EBDF0,2,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01F2D9C,0x8009077A,,,0xA01AE848,0xA01AA974,C_fam_0026,C_lookup_ax_X_Y_1F2D9C,C_fam_unkX_unkY_1F2D9C,2,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01F7D80,0x800907F8,0xD0002F10,,,0xA01AA974,C_fam_0275,C_lookup_ax_X_Y_1F7D80,C_fam_D0002F10_unkY_1F7D80,1,hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01F7D8C,0x80090838,0xD0002F12,,,,C_fam_0276,C_lookup_unresolved_090838,C_fam_D0002F12_unkY_1F7D8C,1,hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01EEDC0,0x80090BA6,0xD0002EB6,0xD0002EF2,,,C_fam_0209,C_lookup_D0002EB6_x_D0002EF2_1EEDC0,C_fam_D0002EB6_D0002EF2_1EEDC0,1,ram_x=a14_at_call;hub=map_interp_C;ram_y_from_lea;RE_not_OEM
0xA01ECDD0,0x80090BCE,0xD0002EB6,,,,C_fam_0273,C_lookup_unresolved_090BCE,C_fam_D0002EB6_unkY_1ECDD0,1,ram_x=a14_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01ECDC0,0x80090CB2,,,,,C_fam_0291,C_lookup_unresolved_090CB2,C_fam_unkX_unkY_1ECDC0,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01EED80,0x80090E40,0xD0002EC4,,,,C_fam_0274,C_lookup_unresolved_090E40,C_fam_D0002EC4_unkY_1EED80,1,hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01EBDA0,0x80090ECE,0xD0002ECC,0xD0000934,,,C_fam_0186,C_lookup_D0002ECC_x_D0000934_1EBDA0,C_fam_D0002ECC_D0000934_1EBDA0,1,ram_y=a15_at_call;hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
0xA01D3EE4,0x8009227A,,0xD0002064,0xA01A2610,,C_fam_0219,C_lookup_ax_X_Y_1D3EE4,C_fam_unkX_D0002064_1D3EE4,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D3EF0,0x800922C6,0xD0000000,0xD0002064,0xA01A2620,,C_fam_0182,C_lookup_D0000000_x_D0002064_1D3EF0,C_fam_D0000000_D0002064_1D3EF0,1,hub=map_interp_C;ram_x_from_lea;d4=ld.hu_bo/indirect;d5=ld.hu_abs;RE_not_OEM
0xA01C89E4,0x800944C0,,,0xA01B1908,,C_fam_0167,C_lookup_ax_X_Y_1C89E4,C_fam_unkX_unkY_1C89E4,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80094542,,,0xA01B4870,0xA01B5740,C_fam_0119,C_lookup_ax_X_Y_094542,C_fam_unkX_unkY_094542,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018ABC8,0x8009534A,,,0xA01A7B74,,C_fam_0157,C_lookup_ax_X_Y_18ABC8,C_fam_unkX_unkY_18ABC8,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0189BF8,0x800953B8,,0xD0002C10,0xA01A5B74,,C_fam_0229,C_lookup_ax_X_Y_189BF8,C_fam_unkX_D0002C10_189BF8,1,ram_y=a15_at_call;hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0189BE8,0x8009541E,0xD0002C14,0xD0002C10,,,C_fam_0207,C_lookup_D0002C14_x_D0002C10_189BE8,C_fam_D0002C14_D0002C10_189BE8,1,ram_y=a15_at_call;hub=map_interp_C;ram_x_from_lea;d4=ld.hu_bo/indirect;RE_not_OEM
,0x80095680,,,0xA01A7630,,C_fam_0154,C_lookup_ax_X_Y_095680,C_fam_unkX_unkY_095680,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C89CC,0x80095930,,0xD001481A,0xA01B1908,,C_fam_0235,C_lookup_ax_X_Y_1C89CC,C_fam_unkX_D001481A_1C89CC,1,ram_y=a15_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01CD9F8,0x8009596C,,0xD0003010,0xA01B1908,,C_fam_0010,C_lookup_ax_X_Y_1CD9F8,C_fam_unkX_D0003010_1CD9F8,3,ram_y=a15_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01C89D8,0x8009597E,,0xD0003010,0xA01B1908,,C_fam_0010,C_lookup_ax_X_Y_1C89D8,C_fam_unkX_D0003010_1C89D8,3,ram_y=a15_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01CDE44,0x800959B6,,0xD0003010,0xA01B1908,,C_fam_0010,C_lookup_ax_X_Y_1CDE44,C_fam_unkX_D0003010_1CDE44,3,ram_y=a15_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01D3020,0x8009615E,0xD0002420,,0xA01A1748,,C_fam_0261,C_lookup_ax_X_Y_1D3020,C_fam_D0002420_unkY_1D3020,1,hub=map_interp_C;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D7000,0x800961D6,0xD0002422,,0xA01A176C,,C_fam_0262,C_lookup_ax_X_Y_1D7000,C_fam_D0002422_unkY_1D7000,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D7020,0x8009628A,0xD0002424,,0xA01A2750,,C_fam_0263,C_lookup_ax_X_Y_1D7020,C_fam_D0002424_unkY_1D7020,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D60B0,0x80096320,0xD0002426,,0xA01A17A8,,C_fam_0264,C_lookup_ax_X_Y_1D60B0,C_fam_D0002426_unkY_1D60B0,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D4328,0x800963C2,0xD0002428,,,,C_fam_0265,C_lookup_unresolved_0963C2,C_fam_D0002428_unkY_1D4328,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01C8000,0x80096466,0xD000242A,,0xA01A2774,,C_fam_0266,C_lookup_ax_X_Y_1C8000,C_fam_D000242A_unkY_1C8000,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D6090,0x8009650A,0xD000242C,,,,C_fam_0267,C_lookup_unresolved_09650A,C_fam_D000242C_unkY_1D6090,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D3000,0x80096576,0xD000242E,,,,C_fam_0268,C_lookup_unresolved_096576,C_fam_D000242E_unkY_1D3000,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D5788,0x80098426,0xD000182A,0xD00018A8,,,C_fam_0189,C_lookup_D000182A_x_D00018A8_1D5788,C_fam_D000182A_D00018A8_1D5788,1,hub=map_interp_C;ram_pair_from_lea_fallback_not_d4d5;d4=ld.hu_bo/indirect;RE_not_OEM
,0x800984D0,0xD00018A2,0xD00018A2,,,C_fam_0190,C_lookup_D00018A2_x_D00018A2,C_fam_D00018A2_D00018A2_0984D0,1,ram_y=a15_at_call;hub=map_interp_C;d4=ld.hu_bo;RE_not_OEM
,0x8009857C,0xD0001896,,,,C_fam_0044,C_lookup_unresolved_09857C,C_fam_D0001896_unkY_09857C,2,hub=map_interp_C;d4=ld.hu_bo;static_miss_indirect_d4d5;RE_not_OEM
